subset,n,sapbert_name,sapbert,bm25,ic,hybrid_dense_bm25,hybrid_dense_ic,hybrid,hybrid_tuned,phrank_style,resnik_style,lirical_style
HMS,77,0.4935064935064935,0.4935064935064935,0.3116883116883117,0.4675324675324675,0.5584415584415584,0.6623376623376623,0.6493506493506493,0.45454545454545453,0.5194805194805194,0.6363636363636364,0.6363636363636364
LIRICAL,196,0.5408163265306123,0.44387755102040816,0.6377551020408163,0.6887755102040817,0.6479591836734694,0.7040816326530612,0.7295918367346939,0.6887755102040817,0.6785714285714286,0.6836734693877551,0.7397959183673469
MME,28,0.35714285714285715,0.32142857142857145,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.75,0.75,0.7142857142857143,0.7142857142857143,0.6785714285714286
RAMEDIS,533,0.3977485928705441,0.2795497185741088,0.24202626641651032,0.5872420262664165,0.3527204502814259,0.5797373358348968,0.5478424015009381,0.41275797373358347,0.5703564727954972,0.3302063789868668,0.39399624765478425
