phrank_style,resnik_style,lirical_style,sapbert,sapbert_name,bm25,ic,hybrid_dense_bm25,hybrid_dense_ic,hybrid,hybrid_tuned,case_id,subset,len_bin,single_gold
26,3,3,3,4,39,11,8,3,5,24,HMS_29,HMS,7-9,True
155,96,130,32,51,142,81,43,28,42,107,HMS_30,HMS,10-14,True
72,122,29,84,164,30,69,28,46,28,36,HMS_31,HMS,10-14,True
22,7,6,2,1,40,52,5,6,6,38,HMS_32,HMS,10-14,True
73,25,45,73,37,65,129,54,80,64,84,HMS_33,HMS,15+,True
81,87,61,4,7,23,79,3,12,8,35,HMS_35,HMS,15+,False
2,1,1,7,7,20,17,8,4,4,16,HMS_36,HMS,15+,False
1,1,1,3,4,2,12,1,2,2,2,HMS_37,HMS,10-14,True
2,1,5,2,2,5,32,3,4,4,6,HMS_38,HMS,15+,False
215,177,108,588,46,40,310,98,399,138,68,HMS_39,HMS,15+,True
2,5,2,25,33,4,13,4,5,2,5,HMS_40,HMS,7-9,True
1054,1311,928,2309,2020,1666,436,2295,836,1079,858,HMS_41,HMS,10-14,True
111,64,34,150,233,39,83,60,87,58,53,HMS_43,HMS,15+,True
5,12,2,2,1,3,2,1,1,1,2,HMS_44,HMS,7-9,False
180,42,12,133,98,8,9,36,26,8,4,HMS_45,HMS,15+,False
1,1,1,2,4,4,2,2,2,1,1,HMS_46,HMS,10-14,True
51,25,120,7,15,257,324,29,29,53,289,HMS_47,HMS,15+,True
73,44,28,11,6,33,131,10,15,14,50,HMS_49,HMS,7-9,False
34,74,20,89,61,177,8,109,18,36,24,HMS_50,HMS,15+,True
1,1,1,9,7,13,11,1,1,1,8,HMS_51,HMS,7-9,True
37,8,6,89,30,4,41,12,43,12,5,HMS_52,HMS,15+,True
332,164,69,2,1,559,124,33,21,43,238,HMS_53,HMS,15+,True
14,36,12,9,4,117,2,30,3,9,12,HMS_54,HMS,15+,True
1,9,3,1,3,1,1,1,1,1,1,HMS_55,HMS,15+,True
98,32,25,89,59,157,186,101,111,110,181,HMS_56,HMS,10-14,True
527,264,233,443,502,443,437,457,445,459,456,HMS_57,HMS,15+,True
3,2,1,2,3,46,11,10,2,7,21,HMS_58,HMS,10-14,True
1,1,1,8,11,1,7,2,1,1,1,HMS_59,HMS,15+,True
18,36,27,30,42,80,13,31,9,15,26,HMS_60,HMS,15+,True
39,15,21,28,10,26,44,14,15,11,33,HMS_61,HMS,15+,False
26,29,6,85,61,59,9,50,15,23,19,HMS_63,HMS,15+,False
43,59,37,49,64,253,110,82,58,80,168,HMS_64,HMS,15+,True
36,16,38,38,7,497,18,93,9,29,51,HMS_65,HMS,15+,True
231,146,329,1533,1805,1410,178,1696,382,552,421,HMS_67,HMS,15+,True
30,24,24,131,72,59,26,61,64,74,73,HMS_68,HMS,15+,False
21,12,34,57,28,152,127,70,70,77,141,HMS_69,HMS,15+,True
74,68,20,11,75,40,7,5,2,2,13,HMS_70,HMS,10-14,True
12,9,3,49,83,67,23,20,3,8,44,HMS_71,HMS,15+,False
3,2,3,24,22,1,5,7,7,5,2,HMS_72,HMS,10-14,True
30,9,5,44,68,108,54,56,32,38,72,HMS_74,HMS,15+,True
37,14,38,2,1,21,207,1,4,3,35,HMS_75,HMS,15+,True
23,132,35,14,131,80,4,9,1,2,9,HMS_76,HMS,15+,True
1,10,2,40,37,43,40,25,20,16,39,HMS_77,HMS,7-9,True
77,12,32,1,4,16,369,1,16,7,32,HMS_78,HMS,15+,True
108,15,9,53,31,99,36,35,9,25,58,HMS_79,HMS,7-9,True
21,24,24,105,178,3385,8,252,16,42,32,HMS_80,HMS,1-6,True
136,49,50,100,164,46,135,43,93,49,56,HMS_81,HMS,7-9,True
8,2,1,2,2,304,7,18,1,5,26,HMS_82,HMS,15+,True
6,3,3,7,8,31,21,9,6,12,27,HMS_83,HMS,7-9,True
21,16,3,11,9,78,67,16,11,20,73,HMS_84,HMS,15+,True
5,22,13,27,14,39,182,11,29,19,58,HMS_85,HMS,10-14,True
130,63,21,34,28,115,64,43,20,36,84,HMS_86,HMS,15+,True
24,17,7,20,23,44,2,11,1,3,9,HMS_87,HMS,7-9,True
14,8,6,41,49,35,21,23,17,17,26,LIRICAL_0,LIRICAL,7-9,True
1,1,1,8,2,1,2,2,4,2,1,LIRICAL_1,LIRICAL,1-6,True
1,1,1,2,2,5,2,3,1,2,2,LIRICAL_2,LIRICAL,10-14,True
174,827,158,643,2133,1,1,17,15,6,1,LIRICAL_3,LIRICAL,10-14,True
5,5,5,292,260,17,8,54,36,11,6,LIRICAL_4,LIRICAL,15+,True
3,1,1,38,19,158,10,54,3,14,22,LIRICAL_6,LIRICAL,10-14,True
16,46,19,532,867,4,3,30,24,8,1,LIRICAL_7,LIRICAL,15+,True
1,1,1,1,2,1,2,1,1,1,1,LIRICAL_13,LIRICAL,15+,True
6,9,14,122,97,9,22,15,16,9,7,LIRICAL_14,LIRICAL,15+,True
1,1,1,17,1,41,2,10,1,1,6,LIRICAL_16,LIRICAL,15+,True
1,1,1,36,51,2,1,1,1,1,1,LIRICAL_18,LIRICAL,10-14,True
1,1,1,4,2,1,6,2,1,1,2,LIRICAL_19,LIRICAL,15+,True
8,2,24,155,84,31,77,45,81,36,39,LIRICAL_20,LIRICAL,15+,True
1,4,1,18,8,2,1,7,6,4,1,LIRICAL_22,LIRICAL,15+,True
34,83,64,257,142,475,218,363,253,313,356,LIRICAL_23,LIRICAL,1-6,True
118,206,72,2,6,324,2,31,1,13,11,LIRICAL_25,LIRICAL,7-9,True
1747,1668,608,350,296,508,408,450,399,438,530,LIRICAL_26,LIRICAL,1-6,True
3,3,3,75,41,52,23,41,9,15,34,LIRICAL_27,LIRICAL,10-14,True
1,1,1,5,1,2,1,2,1,1,1,LIRICAL_31,LIRICAL,1-6,True
8,8,7,214,800,2,8,9,11,1,1,LIRICAL_32,LIRICAL,7-9,True
1,1,1,540,458,5,6,21,26,10,4,LIRICAL_34,LIRICAL,1-6,True
233,613,232,50,82,149,14,62,5,10,36,LIRICAL_35,LIRICAL,15+,True
1,1,1,351,207,1,1,29,24,9,1,LIRICAL_38,LIRICAL,10-14,True
1,1,1,2,1,1,4,1,1,1,1,LIRICAL_40,LIRICAL,7-9,True
1,1,1,316,251,8,2,46,17,9,3,LIRICAL_44,LIRICAL,15+,True
417,376,153,70,1252,184,135,96,78,90,170,LIRICAL_47,LIRICAL,10-14,True
234,46,41,17,20,31,215,10,25,19,52,LIRICAL_48,LIRICAL,15+,True
81,30,223,93,14,307,382,137,167,192,356,LIRICAL_49,LIRICAL,15+,True
35,89,40,17,82,14,5,8,5,7,6,LIRICAL_50,LIRICAL,1-6,True
1,1,1,1,1,11,1,3,1,1,1,LIRICAL_52,LIRICAL,15+,True
1,1,1,1,1,1,2,1,1,1,1,LIRICAL_53,LIRICAL,15+,True
7,7,99,167,199,6,15,11,16,4,4,LIRICAL_54,LIRICAL,1-6,True
1,1,1,102,104,2,158,8,109,17,4,LIRICAL_58,LIRICAL,15+,True
3,14,24,105,25,2,13,10,24,8,3,LIRICAL_60,LIRICAL,1-6,True
1,1,2,9,8,1,16,3,3,2,1,LIRICAL_61,LIRICAL,7-9,True
2,2,4,1,2,1,4,1,1,1,1,LIRICAL_62,LIRICAL,15+,True
1,1,1,17,11,2,5,3,4,2,2,LIRICAL_63,LIRICAL,10-14,True
908,754,812,634,365,1180,576,889,664,782,891,LIRICAL_64,LIRICAL,10-14,True
31,1,1,563,251,1,3,13,14,3,1,LIRICAL_65,LIRICAL,7-9,True
1,1,1,65,70,1,1,5,8,1,1,LIRICAL_66,LIRICAL,1-6,True
708,1844,785,706,1625,99,15,188,37,40,37,LIRICAL_68,LIRICAL,7-9,True
1,1,1,1,1,2,2,1,1,1,1,LIRICAL_69,LIRICAL,15+,True
13,51,30,26,105,1,18,4,10,4,3,LIRICAL_71,LIRICAL,7-9,True
40,27,30,5,38,73,23,14,4,13,38,LIRICAL_72,LIRICAL,7-9,True
1,1,2,17,27,1,23,3,7,3,4,LIRICAL_73,LIRICAL,15+,True
1,1,1,17,15,1,10,1,1,1,1,LIRICAL_76,LIRICAL,7-9,True
1,6,12,268,23,68,29,107,47,32,42,LIRICAL_81,LIRICAL,7-9,True
20,7,21,46,179,3,19,9,24,9,5,LIRICAL_82,LIRICAL,10-14,True
1,1,1,23,25,11,7,2,2,1,3,LIRICAL_84,LIRICAL,15+,True
6,16,9,43,12,151,16,46,2,6,37,LIRICAL_85,LIRICAL,7-9,True
1,1,1,274,158,2,3,22,16,5,1,LIRICAL_86,LIRICAL,15+,True
2,2,9,2,1,13,2,1,1,1,2,LIRICAL_88,LIRICAL,10-14,True
151,44,65,88,51,162,336,114,148,149,206,LIRICAL_89,LIRICAL,10-14,True
1,1,1,2,2,14,2,3,1,1,5,LIRICAL_90,LIRICAL,15+,True
79,100,16,246,132,110,1,147,16,32,11,LIRICAL_91,LIRICAL,15+,True
10,1,2,2,2,3,11,2,2,2,2,LIRICAL_93,LIRICAL,10-14,True
65,87,43,699,412,27,2,78,24,13,4,LIRICAL_94,LIRICAL,15+,True
84,67,48,139,77,101,29,118,52,65,60,LIRICAL_95,LIRICAL,7-9,True
6,2,1,430,123,6,15,29,40,21,7,LIRICAL_97,LIRICAL,1-6,True
1,1,1,3,1,9,1,3,1,1,2,LIRICAL_98,LIRICAL,15+,True
3,2,4,2,3,2,16,2,5,3,3,LIRICAL_102,LIRICAL,1-6,True
17,54,94,269,118,54,253,91,281,114,81,LIRICAL_103,LIRICAL,1-6,True
43,30,20,45,5,14,17,13,16,7,9,LIRICAL_104,LIRICAL,1-6,True
1,1,2,35,33,1,346,12,84,24,4,LIRICAL_107,LIRICAL,15+,True
11,14,14,15,7,21,31,11,17,14,23,LIRICAL_108,LIRICAL,1-6,True
43,35,3,3,1,1,5,1,2,1,1,LIRICAL_110,LIRICAL,10-14,True
1,1,1,149,23,5,7,21,24,10,1,LIRICAL_111,LIRICAL,10-14,True
26,5,15,121,122,80,57,64,53,36,73,LIRICAL_113,LIRICAL,10-14,True
30,9,18,15,25,1087,60,56,16,45,147,LIRICAL_117,LIRICAL,15+,True
1,1,1,2,3,1,1,1,1,1,1,LIRICAL_118,LIRICAL,1-6,True
2,2,1,6,7,6,1,2,1,1,1,LIRICAL_119,LIRICAL,10-14,True
2,1,1,57,35,8,8,14,10,6,3,LIRICAL_121,LIRICAL,10-14,True
7,7,4,513,677,10,5,32,27,15,6,LIRICAL_122,LIRICAL,15+,True
8,3,4,39,17,6,9,4,4,2,3,LIRICAL_128,LIRICAL,15+,True
1,1,1,1,1,1,1,1,1,1,1,LIRICAL_131,LIRICAL,15+,True
49,56,13,528,539,788,19,748,46,78,52,LIRICAL_132,LIRICAL,15+,True
10,15,6,1,4,11,1,1,1,1,4,LIRICAL_134,LIRICAL,7-9,True
5,6,1,77,48,10,9,16,14,7,6,LIRICAL_135,LIRICAL,10-14,True
30,20,37,10,6,480,82,24,6,20,190,LIRICAL_136,LIRICAL,10-14,True
2,1,1,2,2,1,1,1,1,1,1,LIRICAL_141,LIRICAL,15+,True
10,24,12,3,1,17,28,3,8,6,20,LIRICAL_144,LIRICAL,10-14,True
252,266,111,54,101,54,65,51,52,43,61,LIRICAL_145,LIRICAL,1-6,True
1,1,1,68,50,13,1,2,5,2,1,LIRICAL_146,LIRICAL,10-14,True
16,43,21,4,3,1,9,1,1,1,2,LIRICAL_147,LIRICAL,1-6,True
3,1,3,35,19,27,7,19,9,10,11,LIRICAL_151,LIRICAL,7-9,True
524,825,490,241,609,549,147,358,175,255,288,LIRICAL_154,LIRICAL,10-14,True
9,6,3,584,563,9,2,30,6,1,1,LIRICAL_155,LIRICAL,10-14,True
20,3,2,8,5,3,4,3,2,2,1,LIRICAL_156,LIRICAL,10-14,True
1,2,1,22,8,15,2,12,7,9,4,LIRICAL_161,LIRICAL,15+,True
2,1,1,80,19,1,1,7,9,2,1,LIRICAL_162,LIRICAL,15+,True
133,150,92,101,40,572,75,182,76,122,153,LIRICAL_163,LIRICAL,1-6,True
1,1,2,71,82,2,18,17,26,10,4,LIRICAL_164,LIRICAL,10-14,True
394,717,238,28,12,28,6,13,9,8,11,LIRICAL_165,LIRICAL,7-9,True
1,1,2,98,26,5,7,22,13,6,4,LIRICAL_166,LIRICAL,10-14,True
2,1,4,26,17,5,35,7,8,6,8,LIRICAL_167,LIRICAL,15+,True
17,7,12,115,158,71,69,48,53,36,73,LIRICAL_169,LIRICAL,10-14,True
24,11,22,8,3,9,118,4,35,14,17,LIRICAL_171,LIRICAL,10-14,True
12,5,5,8,19,6,4,4,2,2,1,LIRICAL_177,LIRICAL,10-14,True
1,1,1,1,1,1,1,1,1,1,1,LIRICAL_178,LIRICAL,10-14,True
1,1,1,10,2,1,9,2,1,1,1,LIRICAL_180,LIRICAL,15+,True
485,474,268,979,955,63,346,165,586,211,105,LIRICAL_181,LIRICAL,15+,True
2,1,2,1,1,17,27,2,3,2,15,LIRICAL_190,LIRICAL,15+,True
1,1,1,3,1,1,1,2,2,1,1,LIRICAL_192,LIRICAL,10-14,True
14,20,89,102,35,156,74,110,56,55,116,LIRICAL_193,LIRICAL,15+,True
22,51,27,5,3,6,7,5,5,5,5,LIRICAL_194,LIRICAL,7-9,True
183,41,200,95,14,490,697,173,197,245,614,LIRICAL_195,LIRICAL,15+,True
1,1,1,19,5,3,1,7,4,2,2,LIRICAL_197,LIRICAL,15+,True
15,22,13,3,4,14,22,7,9,8,15,LIRICAL_198,LIRICAL,7-9,True
76,1,3,20,17,8,156,5,19,6,14,LIRICAL_200,LIRICAL,7-9,True
2,1,22,118,134,25,135,16,106,31,36,LIRICAL_201,LIRICAL,1-6,True
1,2,1,7,13,1,1,1,2,1,1,LIRICAL_202,LIRICAL,10-14,True
92,29,9,40,19,32,50,21,16,14,37,LIRICAL_203,LIRICAL,10-14,True
22,46,16,10,6,66,35,7,9,8,43,LIRICAL_204,LIRICAL,1-6,True
1,4,2,14,3,4,3,3,1,2,2,LIRICAL_209,LIRICAL,15+,True
100,155,56,1048,122,208,3,379,32,54,15,LIRICAL_210,LIRICAL,10-14,True
1,1,1,30,7,1,15,5,3,2,2,LIRICAL_212,LIRICAL,1-6,True
20,56,73,1440,1838,69,112,162,238,109,80,LIRICAL_213,LIRICAL,1-6,True
1,5,4,23,9,6,14,2,2,1,3,LIRICAL_214,LIRICAL,10-14,True
1831,1469,3161,1695,1829,2204,2352,1950,2027,2098,2273,LIRICAL_217,LIRICAL,15+,True
2,3,1,107,40,6,12,22,13,5,3,LIRICAL_218,LIRICAL,15+,True
1,1,1,1,1,1,1,1,1,1,1,LIRICAL_219,LIRICAL,10-14,True
1,1,1,1,1,1,1,1,1,1,1,LIRICAL_220,LIRICAL,7-9,True
21,2,6,6,5,61,7,20,5,13,20,LIRICAL_226,LIRICAL,7-9,True
29,6,2,86,34,93,16,73,22,31,32,LIRICAL_228,LIRICAL,15+,True
15,2,2,12,11,5,15,2,4,1,5,LIRICAL_233,LIRICAL,1-6,True
56,31,22,5,1,7,14,3,5,2,5,LIRICAL_234,LIRICAL,1-6,True
1,1,2,15,13,12,5,7,4,4,7,LIRICAL_237,LIRICAL,10-14,True
25,28,26,15,2,25,4,12,3,5,10,LIRICAL_240,LIRICAL,7-9,True
55,44,17,11,16,12,2,8,4,6,7,LIRICAL_241,LIRICAL,1-6,True
93,170,98,204,132,49,159,78,188,90,71,LIRICAL_243,LIRICAL,15+,True
2,1,1,2,2,1,1,1,1,1,1,LIRICAL_245,LIRICAL,15+,True
2,1,3,2,2,1,2,1,2,1,1,LIRICAL_246,LIRICAL,1-6,True
34,11,17,52,29,32,115,21,43,23,46,LIRICAL_250,LIRICAL,10-14,True
135,284,259,800,535,113,30,236,85,83,59,LIRICAL_254,LIRICAL,10-14,True
1,1,1,72,64,21,14,21,10,10,12,LIRICAL_258,LIRICAL,10-14,True
8,30,37,164,42,111,79,108,81,80,99,LIRICAL_262,LIRICAL,7-9,True
391,477,208,284,380,311,99,304,150,171,174,LIRICAL_266,LIRICAL,10-14,True
3,23,2,4,3,2,2,1,2,1,2,LIRICAL_268,LIRICAL,1-6,True
22,63,18,368,364,493,29,487,64,105,80,LIRICAL_269,LIRICAL,7-9,True
1,1,2,251,239,7,2,39,20,10,3,LIRICAL_270,LIRICAL,15+,True
69,21,14,73,45,494,16,138,5,26,47,LIRICAL_271,LIRICAL,10-14,True
1,1,1,1,1,1,7,1,1,1,2,LIRICAL_274,LIRICAL,15+,True
1,1,2,2,1,1,3,1,1,1,2,LIRICAL_276,LIRICAL,15+,True
1,1,1,54,18,1,1,2,5,1,1,LIRICAL_277,LIRICAL,15+,True
8,8,26,607,386,117,100,233,206,162,118,LIRICAL_278,LIRICAL,10-14,True
135,21,17,27,3,31,49,18,22,15,32,LIRICAL_279,LIRICAL,1-6,True
42,37,69,1996,1430,581,85,1079,184,229,163,LIRICAL_280,LIRICAL,7-9,True
1,1,1,1,1,1,2,1,1,1,1,LIRICAL_282,LIRICAL,10-14,True
2,3,3,31,23,55,36,31,27,29,47,LIRICAL_286,LIRICAL,1-6,True
61,28,114,18,16,179,188,39,25,53,204,LIRICAL_287,LIRICAL,15+,True
2,2,1,315,140,10,6,32,28,13,4,LIRICAL_291,LIRICAL,15+,True
1,1,1,589,370,61,24,105,82,52,36,LIRICAL_292,LIRICAL,10-14,True
17,15,15,2,3,13,20,6,10,9,13,LIRICAL_296,LIRICAL,1-6,True
277,77,47,384,1123,7,8,19,27,8,4,LIRICAL_297,LIRICAL,15+,True
1,1,1,1,1,1,1,1,1,1,1,LIRICAL_299,LIRICAL,1-6,True
1,1,1,5,3,1,2,1,1,1,1,LIRICAL_303,LIRICAL,10-14,True
9,14,3,15,9,7,15,8,10,8,7,LIRICAL_304,LIRICAL,15+,True
29,34,19,42,154,6,2,7,4,4,2,LIRICAL_305,LIRICAL,7-9,True
83,78,79,1451,988,282,91,548,204,226,157,LIRICAL_306,LIRICAL,7-9,True
1,1,23,187,177,2,121,23,149,33,7,LIRICAL_308,LIRICAL,10-14,True
2,4,1,2,1,1,1,1,1,1,1,LIRICAL_309,LIRICAL,1-6,True
13,50,110,16,7,10,97,4,21,9,14,LIRICAL_310,LIRICAL,15+,True
7,6,2,244,169,47,59,70,88,46,48,LIRICAL_312,LIRICAL,7-9,True
4,4,3,2,2,3,3,2,2,2,3,LIRICAL_313,LIRICAL,15+,True
42,107,39,8,3,38,2,3,1,1,6,LIRICAL_314,LIRICAL,7-9,True
1,1,1,79,17,13,12,22,16,11,9,LIRICAL_316,LIRICAL,10-14,True
9,8,15,8,8,2,8,3,4,3,2,LIRICAL_318,LIRICAL,1-6,True
216,140,90,292,334,243,98,257,163,185,157,LIRICAL_319,LIRICAL,1-6,True
1,1,3,1,1,1,2,1,1,1,1,LIRICAL_323,LIRICAL,15+,True
37,38,7,45,54,5,14,12,20,6,5,LIRICAL_324,LIRICAL,1-6,True
49,58,18,2,1,4,2,1,1,1,2,LIRICAL_325,LIRICAL,7-9,True
42,30,39,299,238,368,14,347,35,67,42,LIRICAL_326,LIRICAL,10-14,True
45,18,6,1,16,1,8,1,1,1,1,LIRICAL_331,LIRICAL,15+,True
30,52,13,125,21,2,8,14,11,4,2,LIRICAL_335,LIRICAL,7-9,True
27,1,5,52,30,27,21,32,22,21,22,LIRICAL_337,LIRICAL,1-6,True
5,1,1,26,18,1,61,2,7,3,3,LIRICAL_340,LIRICAL,7-9,True
166,97,54,73,79,81,40,46,22,26,56,LIRICAL_341,LIRICAL,10-14,True
1,1,1,147,126,15,7,27,12,5,6,LIRICAL_342,LIRICAL,15+,True
1007,1363,580,1055,692,678,842,875,1031,928,804,LIRICAL_343,LIRICAL,10-14,True
70,145,62,154,88,24,71,50,103,37,34,LIRICAL_345,LIRICAL,10-14,True
1,1,1,189,101,4,3,20,16,6,1,LIRICAL_347,LIRICAL,15+,True
1,1,1,1,1,1,3,1,1,1,1,LIRICAL_349,LIRICAL,15+,True
8,8,15,142,163,38,31,39,48,27,34,LIRICAL_350,LIRICAL,1-6,True
15,21,8,8,6,5,9,3,4,3,5,LIRICAL_351,LIRICAL,1-6,True
33,7,4,100,58,98,40,75,34,39,66,LIRICAL_352,LIRICAL,1-6,True
1945,1810,1164,182,22,3517,836,390,320,468,1767,LIRICAL_353,LIRICAL,1-6,True
155,233,101,1016,845,383,63,626,136,180,138,LIRICAL_357,LIRICAL,7-9,True
4,13,17,1,2,40,15,5,2,3,20,LIRICAL_358,LIRICAL,10-14,True
1,1,1,189,88,9,6,30,18,7,5,LIRICAL_360,LIRICAL,7-9,True
1,1,1,6,3,1,10,1,1,1,2,LIRICAL_361,LIRICAL,10-14,True
121,230,228,290,175,80,64,141,123,94,71,LIRICAL_363,LIRICAL,15+,True
1,1,1,129,62,30,52,44,55,29,34,LIRICAL_365,LIRICAL,10-14,True
1,1,1,5,8,1,4,1,1,1,1,LIRICAL_366,LIRICAL,15+,True
6,9,2,1,9,4,3,1,1,1,1,LIRICAL_367,LIRICAL,15+,True
2,1,1,2,2,1,1,1,1,1,1,LIRICAL_368,LIRICAL,15+,True
358,319,373,1227,1170,854,368,1070,641,730,602,LIRICAL_369,LIRICAL,7-9,True
